Country,Year,Total Population,Age Group,Male Population,Female Population
Afghanistan,2023,39835428,0-14,9800000,9500000
Afghanistan,2023,39835428,15-24,4200000,3900000
Afghanistan,2023,39835428,25-54,6000000,5600000
Afghanistan,2023,39835428,55-64,1200000,1100000
Afghanistan,2023,39835428,65+,1300000,1200000
Brazil,2023,213993437,0-14,33200000,32500000
Brazil,2023,213993437,15-24,19200000,18500000
Brazil,2023,213993437,25-54,55800000,54500000
Brazil,2023,213993437,55-64,15200000,14800000
Brazil,2023,213993437,65+,9400000,9100000
Canada,2023,38067903,0-14,3500000,3400000
Canada,2023,38067903,15-24,2000000,1900000
Canada,2023,38067903,25-54,8000000,7800000
Canada,2023,38067903,55-64,2000000,1900000
Canada,2023,38067903,65+,2400000,2300000
Denmark,2023,5831404,0-14,500000,480000
Denmark,2023,5831404,15-24,350000,340000
Denmark,2023,5831404,25-54,1200000,1150000
Denmark,2023,5831404,55-64,300000,290000
Denmark,2023,5831404,65+,400000,380000
Egypt,2023,104124440,0-14,20200000,19700000
Egypt,2023,104124440,15-24,9500000,9100000
Egypt,2023,104124440,25-54,26000000,25500000
Egypt,2023,104124440,55-64,4800000,4600000
Egypt,2023,104124440,65+,5300000,5100000
France,2023,65426179,0-14,6200000,5900000
France,2023,65426179,15-24,4300000,4100000
France,2023,65426179,25-54,16000000,15800000
France,2023,65426179,55-64,4200000,4100000
France,2023,65426179,65+,5300000,5100000
Germany,2023,83166711,0-14,7000000,6700000
Germany,2023,83166711,15-24,4500000,4300000
Germany,2023,83166711,25-54,21000000,20500000
Germany,2023,83166711,55-64,5500000,5300000
Germany,2023,83166711,65+,7000000,6800000
Hungary,2023,9634164,0-14,1000000,950000
Hungary,2023,9634164,15-24,700000,650000
Hungary,2023,9634164,25-54,2200000,2100000
Hungary,2023,9634164,55-64,600000,580000
Hungary,2023,9634164,65+,800000,780000
India,2023,1366417754,0-14,196800000,184700000
India,2023,1366417754,15-24,120500000,112600000
India,2023,1366417754,25-54,350200000,340500000
India,2023,1366417754,55-64,58200000,54800000
India,2023,1366417754,65+,50400000,52900000
Japan,2023,125960000,0-14,8000000,7500000
Japan,2023,125960000,15-24,5000000,4800000
Japan,2023,125960000,25-54,25000000,24500000
Japan,2023,125960000,55-64,10000000,9800000
Japan,2023,125960000,65+,13000000,12700000
Kenya,2023,54985698,0-14,13800000,13200000
Kenya,2023,54985698,15-24,6000000,5800000
Kenya,2023,54985698,25-54,14000000,13500000
Kenya,2023,54985698,55-64,3200000,3000000
Kenya,2023,54985698,65+,2700000,2500000
